ID number,Word,Part of Speech,CEFR,Points
1.0,the,Determiner,“A1”,6.0
2.0,be,Verb,“A1”,6.0
3.0,of,Preposition,“A1”,6.0
4.0,and,Conjunction,“A1”,6.0
5.0,in,Preposition,“A1”,6.0
6.0,to,Miscellaneous,“A1”,6.0
7.0,to,Preposition,“A1”,6.0
8.0,for,Preposition,“A1”,6.0
9.0,have,Verb,“A1”,6.0
10.0,with,Preposition,“A1”,6.0
11.0,on,Preposition,“A1”,6.0
12.0,it,Pronoun,“A1”,6.0
13.0,British,Adjective,“A1”,6.0
14.0,by,Preposition,“A1”,6.0
15.0,at,Preposition,“A1”,6.0
16.0,from,Preposition,“A1”,6.0
17.0,that,Pronoun,“A1”,6.0
18.0,an,Determiner,“A1”,6.0
19.0,or,Conjunction,“A1”,6.0
20.0,this,Determiner,“A1”,6.0
21.0,not,Adverb,“A1”,6.0
22.0,you,Pronoun,“A1”,6.0
23.0,will,Modal verb,“A1”,6.0
24.0,do,Verb,“A1”,6.0
25.0,but,Conjunction,“A1”,6.0
26.0,we,Pronoun,“A1”,6.0
27.0,can,Modal verb,“A1”,6.0
28.0,which,Pronoun,“A1”,6.0
29.0,they,Pronoun,“A1”,6.0
30.0,their,Pronoun,“A1”,6.0
31.0,as,Preposition,“A1”,6.0
32.0,as,Adverb,“A1”,6.0
33.0,all,Determiner,“A1”,6.0
34.0,make,Verb,“A1”,6.0
35.0,if,Preposition,“A1”,6.0
36.0,as,Conjunction,“A1”,6.0
37.0,also,Adverb,“A1”,6.0
38.0,one,Number,“A1”,6.0
39.0,who,Determiner,“A1”,6.0
40.0,time,Noun,“A1”,6.0
41.0,other,Adjective,“A1”,6.0
42.0,take,Verb,“A1”,6.0
43.0,year,Noun,“A1”,6.0
44.0,use,Verb,“A1”,6.0
45.0,he,Pronoun,“A1”,6.0
46.0,there,Pronoun,“A1”,6.0
47.0,your,Pronoun,“A1”,6.0
48.0,would,Modal verb,“A1”,6.0
49.0,his,Pronoun,“A1”,6.0
50.0,see,Verb,“A1”,6.0
51.0,into,Preposition,“A1”,6.0
52.0,good,Adjective,“A1”,6.0
53.0,our,Pronoun,“A1”,6.0
54.0,its,Pronoun,“A1”,6.0
55.0,about,Preposition,“A1”,6.0
56.0,out,Adverb,“A1”,6.0
57.0,new,Adjective,“A1”,6.0
58.0,any,Determiner,“A1”,6.0
59.0,when,Conjunction,“A1”,6.0
60.0,give,Verb,“A1”,6.0
61.0,go,Verb,“A1”,6.0
62.0,than,Preposition,“A1”,6.0
63.0,get,Verb,“A1”,6.0
64.0,include,Verb,“A1”,6.0
65.0,say,Verb,“A1”,6.0
66.0,so,Conjunction,“A1”,6.0
67.0,people,Noun,“A1”,6.0
68.0,some,Determiner,“A1”,6.0
69.0,these,Determiner,“A1”,6.0
70.0,over,Preposition,“A1”,6.0
71.0,no,Exclamation,“A1”,6.0
72.0,only,Adverb,“A1”,6.0
73.0,find,Verb,“A1”,6.0
74.0,now,Adverb,“A1”,6.0
75.0,then,Adverb,“A1”,6.0
76.0,two,Number,“A1”,6.0
77.0,well,Adverb,“A1”,6.0
78.0,what,Adverb,“A1”,6.0
79.0,first,Number,“A1”,6.0
80.0,London,Noun,“A1”,6.0
81.0,very,Adverb,“A1”,6.0
82.0,way,Noun,“A1”,6.0
83.0,yes,Exclamation,“A1”,6.0
84.0,should,Modal verb,“A1”,6.0
85.0,come,Verb,“A1”,6.0
86.0,provide,Verb,“A1”,6.0
87.0,after,Preposition,“A1”,6.0
88.0,up,Preposition,“A1”,6.0
89.0,hundred,Number,“A1”,6.0
90.0,know,Verb,“A1”,6.0
91.0,just,Adverb,“A1”,6.0
92.0,work,Verb,“A1”,6.0
93.0,many,Determiner,“A1”,6.0
94.0,could,Modal verb,“A1”,6.0
95.0,work,Noun,“A1”,6.0
96.0,my,Pronoun,“A1”,6.0
97.0,through,Preposition,“A1”,6.0
98.0,how,Adverb,“A1”,6.0
99.0,day,Noun,“A1”,6.0
100.0,need,Verb,“A1”,6.0
101.0,part,Noun,“A1”,6.0
102.0,between,Preposition,“A1”,6.0
103.0,information,Noun,“A1”,6.0
104.0,where,Adverb,“A1”,6.0
105.0,look,Verb,“A1”,6.0
106.0,us,Pronoun,“A1”,6.0
107.0,number,Noun,“A1”,6.0
108.0,here,Adverb,“A1”,6.0
109.0,before,Preposition,“A1”,6.0
110.0,like,Preposition,“A1”,6.0
111.0,even,Adverb,“A1”,6.0
112.0,great,Adjective,“A1”,6.0
113.0,think,Verb,“A1”,6.0
114.0,most,Adverb,“A1”,6.0
115.0,which,Determiner,“A1”,6.0
116.0,up,Adverb,“A1”,6.0
117.0,help,Verb,“A1”,6.0
118.0,more,Pronoun,“A1”,6.0
119.0,place,Noun,“A1”,6.0
120.0,so,Adverb,“A1”,6.0
121.0,own,Adjective,“A1”,6.0
122.0,back,Adverb,“A1”,6.0
123.0,want,Verb,“A1”,6.0
124.0,last,Adjective,“A1”,6.0
125.0,me,Pronoun,“A1”,6.0
126.0,still,Adverb,“A1”,6.0
127.0,high,Adjective,“A1”,6.0
128.0,under,Preposition,“A1”,6.0
129.0,life,Noun,“A1”,6.0
130.0,same,Adjective,“A1”,6.0
131.0,such,Determiner,“A1”,6.0
132.0,show,Verb,“A1”,6.0
133.0,more,Adverb,“A1”,6.0
134.0,three,Number,“A1”,6.0
135.0,must,Modal verb,“A1”,6.0
136.0,those,Pronoun,“A1”,6.0
137.0,because,Conjunction,“A1”,6.0
138.0,all,Adverb,“A1”,6.0
139.0,another,Determiner,“A1”,6.0
140.0,some,Pronoun,“A1”,6.0
141.0,both,Determiner,“A1”,6.0
142.0,much,Adverb,“A1”,6.0
143.0,leave,Verb,“A1”,6.0
144.0,thing,Noun,“A1”,6.0
145.0,about,Adverb,“A1”,6.0
146.0,call,Verb,“A1”,6.0
147.0,each,Determiner,“A1”,6.0
148.0,small,Adjective,“A1”,6.0
149.0,problem,Noun,“A1”,6.0
150.0,her,Pronoun,“A1”,6.0
151.0,England,Noun,“A1”,6.0
152.0,use,Noun,“A1”,6.0
153.0,start,Verb,“A1”,6.0
154.0,put,Verb,“A1”,6.0
155.0,keep,Verb,“A1”,6.0
156.0,without,Preposition,“A1”,6.0
157.0,too,Adverb,“A1”,6.0
158.0,every,Determiner,“A1”,6.0
159.0,end,Noun,“A1”,6.0
160.0,English,Noun,“A1”,6.0
161.0,run,Verb,“A1”,6.0
162.0,while,Conjunction,“A1”,6.0
163.0,home,Noun,“A1”,6.0
164.0,around,Preposition,“A1”,6.0
165.0,next,Adjective,“A1”,6.0
166.0,full,Adjective,“A1”,6.0
167.0,European,Adjective,“A1”,6.0
168.0,write,Verb,“A1”,6.0
169.0,try,Verb,“A1”,6.0
170.0,point,Noun,“A1”,6.0
171.0,when,Adverb,“A1”,6.0
172.0,she,Pronoun,“A1”,6.0
173.0,hold,Verb,“A1”,6.0
174.0,child,Noun,“A1”,6.0
175.0,bring,Verb,“A1”,6.0
176.0,old,Adjective,“A1”,6.0
177.0,important,Adjective,“A1”,6.0
178.0,ask,Verb,“A1”,6.0
179.0,mean,Verb,“A1”,6.0
180.0,out,Preposition,“A1”,6.0
181.0,please,Exclamation,“A1”,6.0
182.0,week,Noun,“A1”,6.0
183.0,again,Adverb,“A1”,6.0
184.0,possible,Adjective,“A1”,6.0
185.0,able,Adjective,“A1”,6.0
186.0,tell,Verb,“A1”,6.0
187.0,meet,Verb,“A1”,6.0
188.0,against,Preposition,“A1”,6.0
189.0,man,Noun,“A1”,6.0
190.0,that,Determiner,“A1”,6.0
191.0,might,Modal verb,“A1”,6.0
192.0,Scotland,Noun,“A1”,6.0
193.0,feel,Verb,“A1”,6.0
194.0,always,Adverb,“A1”,6.0
195.0,country,Noun,“A1”,6.0
196.0,seem,Verb,“A1”,6.0
197.0,long,Adjective,“A1”,6.0
198.0,play,Verb,“A1”,6.0
199.0,month,Noun,“A1”,6.0
200.0,why,Adverb,“A1”,6.0
201.0,change,Noun,“A1”,6.0
202.0,need,Noun,“A1”,6.0
203.0,Britain,Noun,“A1”,6.0
204.0,really,Adverb,“A1”,6.0
205.0,together,Adverb,“A1”,6.0
206.0,live,Verb,“A1”,6.0
207.0,name,Noun,“A1”,6.0
208.0,like,Verb,“A1”,6.0
209.0,book,Noun,“A1”,6.0
210.0,often,Adverb,“A1”,6.0
211.0,question,Noun,“A1”,6.0
212.0,never,Adverb,“A1”,6.0
213.0,family,Noun,“A1”,6.0
214.0,Europe,Noun,“A1”,6.0
215.0,learn,Verb,“A1”,6.0
216.0,late,Adjective,“A1”,6.0
217.0,change,Verb,“A1”,6.0
218.0,school,Noun,“A1”,6.0
219.0,early,Adjective,“A1”,6.0
220.0,rather,Adverb,“A1”,6.0
221.0,read,Verb,“A1”,6.0
222.0,move,Verb,“A1”,6.0
223.0,away,Adverb,“A1”,6.0
224.0,line,Noun,“A1”,6.0
225.0,free,Adjective,“A1”,6.0
226.0,fact,Noun,“A1”,6.0
227.0,down,Adverb,“A1”,6.0
228.0,few,Determiner,“A1”,6.0
229.0,off,Adverb,“A1”,6.0
230.0,something,Pronoun,“A1”,6.0
231.0,already,Adverb,“A1”,6.0
232.0,whether,Conjunction,“A1”,6.0
233.0,right,Noun,“A1”,6.0
234.0,send,Verb,“A1”,6.0
235.0,carry,Verb,“A1”,6.0
236.0,idea,Noun,“A1”,6.0
237.0,other,Pronoun,“A1”,6.0
238.0,ensure,Verb,“A1”,6.0
239.0,these,Pronoun,“A1”,6.0
240.0,hour,Noun,“A1”,6.0
241.0,pay,Verb,“A1”,6.0
242.0,hand,Noun,“A1”,6.0
243.0,side,Noun,“A1”,6.0
244.0,cover,Verb,“A1”,6.0
245.0,believe,Verb,“A1”,6.0
246.0,across,Preposition,“A1”,6.0
247.0,young,Adjective,“A1”,6.0
248.0,four,Number,“A1”,6.0
249.0,Wales,Noun,“A1”,6.0
250.0,one,Pronoun,“A1”,6.0
251.0,much,Determiner,“A1”,6.0
252.0,once,Adverb,“A1”,6.0
253.0,Scottish,Adjective,“A1”,6.0
254.0,turn,Verb,“A1”,6.0
255.0,those,Determiner,“A1”,6.0
256.0,let,Verb,“A1”,6.0
257.0,both,Pronoun,“A1”,6.0
258.0,word,Noun,“A1”,6.0
259.0,type,Noun,“A1”,6.0
260.0,cost,Noun,“A1”,6.0
261.0,lot,Noun,“A1”,6.0
262.0,second,Number,“A1”,6.0
263.0,big,Adjective,“A1”,6.0
264.0,on,Adverb,“A1”,6.0
265.0,special,Adjective,“A1”,6.0
266.0,where,Conjunction,“A1”,6.0
267.0,Internet,Noun,“A1”,6.0
268.0,late,Adverb,“A1”,6.0
269.0,expect,Verb,“A1”,6.0
270.0,no,Pronoun,“A1”,6.0
271.0,apply,Verb,“A1”,6.0
272.0,action,Noun,“A1”,6.0
273.0,yet,Adverb,“A1”,6.0
274.0,person,Noun,“A1”,6.0
275.0,easy,Adjective,“A1”,6.0
276.0,reason,Noun,“A1”,6.0
277.0,only,Adjective,“A1”,6.0
278.0,ever,Adverb,“A1”,6.0
279.0,today,Noun,“A1”,6.0
280.0,contain,Verb,“A1”,6.0
281.0,Ireland,Noun,“A1”,6.0
282.0,real,Adjective,“A1”,6.0
283.0,body,Noun,“A1”,6.0
284.0,publish,Verb,“A1”,6.0
285.0,centre,Noun,“A1”,6.0
286.0,short,Adjective,“A1”,6.0
287.0,organisation,Noun,“A1”,6.0
288.0,money,Noun,“A1”,6.0
289.0,happen,Verb,“A1”,6.0
290.0,hear,Verb,“A1”,6.0
291.0,house,Noun,“A1”,6.0
292.0,join,Verb,“A1”,6.0
293.0,understand,Verb,“A1”,6.0
294.0,grow,Verb,“A1”,6.0
295.0,choose,Verb,“A1”,6.0
296.0,clear,Adjective,“A1”,6.0
297.0,decide,Verb,“A1”,6.0
298.0,friend,Noun,“A1”,6.0
299.0,most,Pronoun,“A1”,6.0
300.0,most,Determiner,“A1”,6.0
301.0,lose,Verb,“A1”,6.0
302.0,date,Noun,“A1”,6.0
303.0,water,Noun,“A1”,6.0
304.0,almost,Adverb,“A1”,6.0
305.0,quite,Adverb,“A1”,6.0
306.0,manage,Verb,“A1”,6.0
307.0,whole,Adjective,“A1”,6.0
308.0,five,Number,“A1”,6.0
309.0,Jesus,Noun,“A1”,6.0
310.0,age,Noun,“A1”,6.0
311.0,job,Noun,“A1”,6.0
312.0,minute,Noun,“A1”,6.0
313.0,buy,Verb,“A1”,6.0
314.0,open,Adjective,“A1”,6.0
315.0,spend,Verb,“A1”,6.0
316.0,top,Adjective,“A1”,6.0
317.0,open,Verb,“A1”,6.0
318.0,room,Noun,“A1”,6.0
319.0,currently,Adverb,“A1”,6.0
320.0,night,Noun,“A1”,6.0
321.0,market,Noun,“A1”,6.0
322.0,each,Pronoun,“A1”,6.0
323.0,pass,Verb,“A1”,6.0
324.0,building,Noun,“A1”,6.0
325.0,matter,Noun,“A1”,6.0
326.0,hope,Verb,“A1”,6.0
327.0,soon,Adverb,“A1”,6.0
328.0,agree,Verb,“A1”,6.0
329.0,strong,Adjective,“A1”,6.0
330.0,enjoy,Verb,“A1”,6.0
331.0,establish,Verb,“A1”,6.0
332.0,towards,Preposition,“A1”,6.0
333.0,themselves,Pronoun,“A1”,6.0
334.0,field,Noun,“A1”,6.0
335.0,paper,Noun,“A1”,6.0
336.0,especially,Adverb,“A1”,6.0
337.0,woman,Noun,“A1”,6.0
338.0,wish,Verb,“A1”,6.0
339.0,along,Preposition,“A1”,6.0
340.0,first,Adverb,“A1”,6.0
341.0,until,Preposition,“A1”,6.0
342.0,though,Conjunction,“A1”,6.0
343.0,since,Preposition,“A1”,6.0
344.0,probably,Adverb,“A1”,6.0
345.0,office,Noun,“A1”,6.0
346.0,bad,Adjective,“A1”,6.0
347.0,key,Adjective,“A1”,6.0
348.0,speak,Verb,“A1”,6.0
349.0,enable,Verb,“A1”,6.0
350.0,bit,Noun,“A1”,6.0
351.0,car,Noun,“A1”,6.0
352.0,stage,Noun,“A1”,6.0
353.0,seek,Verb,“A1”,6.0
354.0,price,Noun,“A1”,6.0
355.0,hard,Adjective,“A1”,6.0
356.0,party,Noun,“A1”,6.0
357.0,record,Noun,“A1”,6.0
358.0,since,Conjunction,“A1”,6.0
359.0,kind,Noun,“A1”,6.0
360.0,win,Verb,“A1”,6.0
